,City,State,Businesses,Stars_Avg,Category_Avg,Stars,Category
0,Santa Barbara,CA,2044,4.0540606653620355,4.652152641878669,8286.5,9509
1,Affton,MO,24,3.5416666666666665,4.958333333333333,85.0,119
2,Tucson,AZ,5002,3.5999600159936027,4.358656537385046,18007.0,21802
3,Philadelphia,PA,7782,3.62124132613724,4.3833204831662815,28180.5,34111
4,Green Lane,PA,7,4.0,4.0,28.0,28
5,Ashland City,TN,25,3.2,4.44,80.0,111
6,Brentwood,MO,405,3.6382716049382715,4.691358024691358,1473.5,1900
7,Saint Petersburg,FL,1789,3.755449972051425,4.684740078256009,6718.5,8381
8,Nashville-Davidson,TN,4150,3.605421686746988,4.590843373493976,14962.5,19052
9,Land O  Lakes,FL,59,3.6016949152542375,4.576271186440678,212.5,270
10,Tampa,FL,4950,3.5844444444444443,4.556363636363637,17743.0,22554
11,Indianapolis,IN,4096,3.585693359375,4.41943359375,14687.0,18102
12,Clearwater,FL,1266,3.5774091627172195,4.523696682464455,4529.0,5727
13,Largo,FL,557,3.5825852782764813,4.473967684021544,1995.5,2492
14,New Orleans,LA,3310,3.825226586102719,4.5105740181268885,12661.5,14930
15,Kenner,LA,312,3.266025641025641,4.032051282051282,1019.0,1258
16,Edmonton,AB,2720,3.4511029411764707,4.060661764705882,9387.0,11045
17,Reno,NV,3187,3.749764668967681,4.512080326325698,11950.5,14380
18,Wrightstown Township,PA,179,3.7569832402234637,4.407821229050279,672.5,789
19,White House,TN,39,3.282051282051282,4.051282051282051,128.0,158
20,Boise,ID,1570,3.7312101910828024,4.496815286624204,5858.0,7060
21,Tredyffrin Township,PA,314,3.7022292993630574,4.398089171974522,1162.5,1381
22,Lower Merion Township,PA,529,3.614366729678639,4.296786389413989,1912.0,2273
23,West Whiteland Township,PA,225,3.3,4.582222222222223,742.5,1031
24,Wilmington,DE,746,3.455764075067024,4.3445040214477215,2578.0,3241
25,Edwardsville,IL,144,3.625,4.326388888888889,522.0,623
26,Sparks,NV,888,3.65259009009009,4.461711711711712,3243.5,3962
27,Alton,IL,90,3.433333333333333,4.7444444444444445,309.0,427
28,Cherry Hill,NJ,490,3.4122448979591837,4.377551020408164,1672.0,2145
29,Springfield,PA,194,3.118556701030928,4.721649484536083,605.0,916
30,Belleville,IL,157,3.299363057324841,4.1528662420382165,518.0,652
31,Carmel,IN,522,3.7701149425287355,4.60727969348659,1968.0,2405
32,Kennett Township,PA,101,3.707920792079208,4.4950495049504955,374.5,454
33,Plymouth Township,PA,96,3.1979166666666665,4.479166666666667,307.0,430
34,Harvey,LA,150,3.276666666666667,4.453333333333333,491.5,668
35,West Chester,PA,439,3.6036446469248293,4.387243735763098,1582.0,1926
36,Meridian,ID,558,3.6577060931899643,4.483870967741935,2041.0,2502
37,Hudson,FL,126,3.384920634920635,4.174603174603175,426.5,526
38,Monroe Township,NJ,71,3.415492957746479,4.014084507042254,242.5,285
39,Pinellas Park,FL,297,3.451178451178451,4.474747474747475,1025.0,1329
40,Glenolden,PA,32,3.40625,4.5,109.0,144
41,Wesley Chapel,FL,318,3.5235849056603774,4.622641509433962,1120.5,1470
42,Fishers,IN,303,3.6518151815181517,4.567656765676568,1106.5,1384
43,Burlington,NJ,98,3.2806122448979593,3.938775510204082,321.5,386
44,Troy,IL,22,3.2954545454545454,3.5,72.5,77
45,Camden,NJ,64,3.703125,3.75,237.0,240
46,Plainfield,IN,147,3.442176870748299,4.700680272108843,506.0,691
47,Bensalem,PA,231,3.2835497835497836,4.341991341991342,758.5,1003
48,Maplewood,MO,78,3.7948717948717947,4.961538461538462,296.0,387
49,St. Louis,MO,3316,3.617611580217129,4.498492159227985,11996.0,14917
50,Fairview Heights,IL,140,3.217857142857143,4.457142857142857,450.5,624
51,Oro Valley,AZ,155,3.6774193548387095,4.503225806451613,570.0,698
52,Treasure Island,FL,49,3.816326530612245,4.326530612244898,187.0,212
53,Upper Southampton Township,PA,112,3.736607142857143,4.455357142857143,418.5,499
54,Chalfont,PA,66,3.727272727272727,3.909090909090909,246.0,258
55,Upper Moreland Township,PA,190,3.3473684210526318,4.331578947368421,636.0,823
56,Voorhees,NJ,122,3.3975409836065573,4.434426229508197,414.5,541
57,Tarpon Springs,FL,211,3.727488151658768,4.677725118483412,786.5,987
58,Whitpain Township,PA,97,3.5721649484536084,4.185567010309279,346.5,406
59,Metairie,LA,897,3.4966555183946486,4.52396878483835,3136.5,4058
60,Woodbury,NJ,87,3.2873563218390807,3.8850574712643677,286.0,338
61,Brownsburg,IN,108,3.509259259259259,4.305555555555555,379.0,465
62,East Norriton Township,PA,292,3.421232876712329,4.345890410958904,999.0,1269
63,Land O Lakes,FL,79,3.5253164556962027,4.3164556962025316,278.5,341
64,Greenwood,IN,329,3.4240121580547114,4.303951367781155,1126.5,1416
65,Brookhaven,PA,34,3.25,4.205882352941177,110.5,143
66,Haverford Township,PA,176,3.596590909090909,4.142045454545454,633.0,729
67,Cheltenham Township,PA,218,3.6926605504587156,4.128440366972477,805.0,900
68,Moorestown,NJ,119,3.4453781512605044,4.2100840336134455,410.0,501
69,Ewing,NJ,62,3.3629032258064515,4.435483870967742,208.5,275
70,Bristol Township,PA,181,3.361878453038674,4.038674033149171,608.5,731
71,Gloucester Township,NJ,12,3.7083333333333335,4.0,44.5,48
72,Aston Township,PA,70,3.5,4.828571428571428,245.0,338
73,Riverview,FL,307,3.423452768729642,4.449511400651466,1051.0,1366
74,Warrington,PA,117,3.3076923076923075,4.538461538461538,387.0,531
75,Madeira Beach,FL,96,3.7604166666666665,4.760416666666667,361.0,457
76,Lutz,FL,330,3.6636363636363636,4.654545454545454,1209.0,1536
77,Langhorne,PA,159,3.270440251572327,4.547169811320755,520.0,723
